,average_placement,std,median_placement
New England Patriots,6.35,0.8742282310701249,2.5
San Francisco 49ers,10.3,1.091833320612629,4.5
Kansas City Chiefs,7.45,0.5295989048327046,6.0
New York Jets,8.45,0.5408095783175442,7.5
Pittsburgh Steelers,14.3,1.1059385154700057,8.5
Atlanta Falcons,10.45,0.4974685919734029,9.5
Los Angeles Rams,12.45,0.7940245588141466,10.5
Philadelphia Eagles,12.85,0.7150349641800742,10.5
Denver Broncos,10.75,0.5855552920092175,11.0
Oakland Raiders,12.4,0.7825599018605541,11.0
Tampa Bay Buccaneers,12.5,1.1169153951844337,11.0
Cleveland Browns,12.0,0.8497058314499201,12.0
Buffalo Bills,13.05,0.8458575530194195,12.5
Cincinnati Bengals,12.5,0.6822756041366275,13.5
New Orleans Saints,14.45,0.5987278179607158,14.0
Green Bay Packers,15.4,0.7844743462982076,15.5
Los Angeles Chargers,14.2,0.8617424209124209,15.5
Dallas Cowboys,16.25,0.592347026665957,17.0
Baltimore Ravens,17.4,0.8254695633395576,17.5
Miami Dolphins,16.3,0.7842831121476479,18.0
New York Giants,15.7,0.6000833275471,18.5
Arizona Cardinals,19.2,1.0768472500777444,19.5
Indianapolis Colts,18.25,0.6073508047249134,19.5
Chicago Bears,17.8,1.0656453443805778,20.0
Carolina Panthers,19.75,0.8519829810506782,20.0
Washington Redskins,21.05,0.6785830826066916,22.5
Seattle Seahawks,22.1,0.4537620521815371,22.5
Minnesota Vikings,19.5,0.9866610360199697,23.5
Tennessee Titans,21.55,0.6960423837669658,24.0
Detroit Lions,24.65,0.517952700543206,25.5
Jacksonville Jaguars,23.85,0.7624139295684463,26.5
Houston Texans,22.8,0.8459314393022639,27.5
