Date;Time;CO(GT);NMHC(GT);C6H6(GT);NOx(GT);NO2(GT);T;RH;AH
11/03/2004;00.00.00;1,2;31;3,6;62;77;11,3;56,8;0,7603
11/03/2004;01.00.00;1;31;3,3;62;76;10,7;60,0;0,7702
11/03/2004;02.00.00;0,9;24;2,3;45;60;10,7;59,7;0,7648
11/03/2004;03.00.00;0,6;19;1,7;-200;-200;10,3;60,2;0,7517
11/03/2004;04.00.00;-200;14;1,3;21;34;10,1;60,5;0,7465
11/03/2004;05.00.00;0,7;8;1,1;16;28;11,0;56,2;0,7366
11/03/2004;06.00.00;0,7;16;1,6;34;48;10,5;58,1;0,7353
11/03/2004;07.00.00;1,1;29;3,2;98;82;10,2;59,6;0,7417
11/03/2004;08.00.00;2;64;8,0;174;112;10,8;57,4;0,7408
11/03/2004;09.00.00;2,2;87;9,5;129;101;10,5;60,6;0,7691
11/03/2004;10.00.00;1,7;77;6,3;112;98;10,8;58,4;0,7552
11/03/2004;11.00.00;1,5;43;5,0;95;92;10,5;57,9;0,7352
11/03/2004;12.00.00;1,6;61;5,2;104;95;9,5;66,8;0,7951
11/03/2004;13.00.00;1,9;63;7,3;146;112;8,3;76,4;0,8393
11/03/2004;14.00.00;2,9;164;11,5;207;128;8,0;81,1;0,8736
11/03/2004;15.00.00;2,2;79;8,8;184;126;8,3;79,8;0,8778
11/03/2004;16.00.00;2,2;95;8,3;193;131;9,7;71,2;0,8569
11/03/2004;17.00.00;2,9;150;11,2;243;135;9,8;67,6;0,8185
11/03/2004;18.00.00;4,8;307;20,8;281;151;10,3;64,2;0,8065
11/03/2004;19.00.00;6,9;461;27,4;383;172;9,7;69,3;0,8319
11/03/2004;20.00.00;6,1;401;24,0;351;165;9,6;67,8;0,8133
11/03/2004;21.00.00;3,9;197;12,8;240;136;9,1;64,0;0,7419
11/03/2004;22.00.00;1,5;61;4,7;94;85;8,2;63,4;0,6905
11/03/2004;23.00.00;1;26;2,6;47;53;8,2;60,8;0,6657
12/03/2004;00.00.00;1,7;55;5,9;122;97;8,3;58,5;0,6438
12/03/2004;01.00.00;1,9;53;6,4;133;110;7,7;59,7;0,6308
12/03/2004;02.00.00;1,4;40;4,1;82;91;7,1;61,8;0,6276
12/03/2004;03.00.00;0,8;21;1,9;-200;-200;7,0;62,3;0,6261
12/03/2004;04.00.00;-200;10;1,1;21;32;6,1;65,9;0,6248
12/03/2004;05.00.00;0,6;7;1,0;30;44;6,3;65,0;0,6233
